subject,sona_id,curTime,userAgent,screenWidth,screenHeight,windowWidth,windowHeight,phase,phase_run_time,choice_trial,search_trial,exp_runtime_mins,phase_runtime_mins,condition,magnitude,direction,choice_response_key,search_response_key,left_deck_id,right_deck_id,risky_deck_outcome_top,risky_deck_outcome_bottom,safe_deck_outcome,selected_deck_location,selectedRiskyDeck,error,n_stimuli,present_or_absent,chosenDeckId,choice_rt,search_rt
it1l37kgtyg,13460,27/03/2022@17:34:56,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36",1280,720,1263,520,main,2949673,1,14,3,2,EM,Moderate,Easier than Reference,D,j,riskyDeck,safeDeck,-28,0,-14,left,1,0,4,present,riskyDeck,2516,826
it1l37kgtyg,13460,27/03/2022@17:34:56,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36",1280,720,1263,520,main,2949673,1,15,3,2,EM,Moderate,Easier than Reference,D,j,riskyDeck,safeDeck,-28,0,-14,left,1,0,4,present,riskyDeck,2516,886
it1l37kgtyg,13460,27/03/2022@17:34:56,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36",1280,720,1263,520,main,2949673,1,16,3,2,EM,Moderate,Easier than Reference,D,j,riskyDeck,safeDeck,-28,0,-14,left,1,0,4,present,riskyDeck,2516,948
it1l37kgtyg,13460,27/03/2022@17:34:56,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36",1280,720,1263,520,main,2949673,1,17,3,2,EM,Moderate,Easier than Reference,D,k,riskyDeck,safeDeck,-28,0,-14,left,1,0,4,absent,riskyDeck,2516,805
it1l37kgtyg,13460,27/03/2022@17:34:56,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36",1280,720,1263,520,main,2949673,2,1,4,2,HE,Extreme,Harder than Reference,D,j,riskyDeck,safeDeck,28,0,14,left,1,0,60,present,riskyDeck,2976,3758
it1l37kgtyg,13460,27/03/2022@17:34:56,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36",1280,720,1263,520,main,2949673,2,2,4,2,HE,Extreme,Harder than Reference,D,k,riskyDeck,safeDeck,28,0,14,left,1,1,60,present,riskyDeck,2976,3716
it1l37kgtyg,13460,27/03/2022@17:34:56,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36",1280,720,1263,520,main,2949673,2,3,4,2,HE,Extreme,Harder than Reference,D,k,riskyDeck,safeDeck,28,0,14,left,1,0,60,absent,riskyDeck,2976,5284
it1l37kgtyg,13460,27/03/2022@17:34:56,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36",1280,720,1263,520,main,2949673,2,4,4,2,HE,Extreme,Harder than Reference,D,k,riskyDeck,safeDeck,28,0,14,left,1,1,60,present,riskyDeck,2976,3678
it1l37kgtyg,13460,27/03/2022@17:34:56,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36",1280,720,1263,520,main,2949673,2,5,4,2,HE,Extreme,Harder than Reference,D,k,riskyDeck,safeDeck,28,0,14,left,1,0,60,absent,riskyDeck,2976,3743
it1l37kgtyg,13460,27/03/2022@17:34:56,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36",1280,720,1263,520,main,2949673,2,6,4,2,HE,Extreme,Harder than Reference,D,k,riskyDeck,safeDeck,28,0,14,left,1,0,60,absent,riskyDeck,2976,3205
it1l37kgtyg,13460,27/03/2022@17:34:56,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36",1280,720,1263,520,main,2949673,2,7,4,2,HE,Extreme,Harder than Reference,D,k,riskyDeck,safeDeck,28,0,14,left,1,0,60,absent,riskyDeck,2976,4900
it1l37kgtyg,13460,27/03/2022@17:34:56,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36",1280,720,1263,520,main,2949673,2,8,4,2,HE,Extreme,Harder than Reference,D,k,riskyDeck,safeDeck,28,0,14,left,1,0,60,absent,riskyDeck,2976,4467
it1l37kgtyg,13460,27/03/2022@17:34:56,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36",1280,720,1263,520,main,2949673,2,9,4,2,HE,Extreme,Harder than Reference,D,j,riskyDeck,safeDeck,28,0,14,left,1,0,60,present,riskyDeck,2976,3095
it1l37kgtyg,13460,27/03/2022@17:34:56,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36",1280,720,1263,520,main,2949673,2,10,4,2,HE,Extreme,Harder than Reference,D,k,riskyDeck,safeDeck,28,0,14,left,1,1,60,present,riskyDeck,2976,4544
it1l37kgtyg,13460,27/03/2022@17:34:56,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36",1280,720,1263,520,main,2949673,2,11,4,3,HE,Extreme,Harder than Reference,D,j,riskyDeck,safeDeck,28,0,14,left,1,0,60,present,riskyDeck,2976,2388
it1l37kgtyg,13460,27/03/2022@17:34:56,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36",1280,720,1263,520,main,2949673,2,12,4,3,HE,Extreme,Harder than Reference,D,j,riskyDeck,safeDeck,28,0,14,left,1,0,60,present,riskyDeck,2976,1860
