subject,sona_id,curTime,userAgent,screenWidth,screenHeight,windowWidth,windowHeight,phase,phase_run_time,trial,exp_runtime_mins,phase_runtime_mins,choice_response_key,search_response_key,left_deck_outcome_top,left_deck_probability_top,left_deck_outcome_bottom,left_deck_probability_bottom,right_deck_outcome_top,right_deck_probability_top,right_deck_outcome_bottom,right_deck_probability_bottom,selected_deck_location,error,n_stimuli,present_or_absent,choice_rt,search_rt
d60e6z187w_pilot,test,21/03/2022@15:22:17,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.74 Safari/537.36",1440,900,1440,764,main,235290,1,3,2,D,k,0,0.5,0,0.5,19,0.5,-12,0.5,left,0,32,absent,4726,3605
d60e6z187w_pilot,test,21/03/2022@15:22:17,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.74 Safari/537.36",1440,900,1440,764,main,235290,2,3,2,F,k,-23,0.47,5,0.53,-31,0.59,25,0.41,right,0,1,absent,1971,1623
d60e6z187w_pilot,test,21/03/2022@15:22:17,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.74 Safari/537.36",1440,900,1440,764,main,235290,3,3,3,F,k,5,0.96,-15,0.04,26,0.51,-19,0.49,right,0,13,absent,1960,1709
d60e6z187w_pilot,test,21/03/2022@15:22:17,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.74 Safari/537.36",1440,900,1440,764,main,235290,4,4,3,F,j,-11,0.7,2,0.3,-22,0.39,6,0.61,right,0,38,present,1196,944
d60e6z187w_pilot,test,21/03/2022@15:22:17,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.74 Safari/537.36",1440,900,1440,764,main,235290,5,4,3,F,j,8,0.11,-10,0.89,-15,0.64,8,0.36,right,0,17,present,1554,771
d60e6z187w_pilot,test,21/03/2022@15:22:17,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.74 Safari/537.36",1440,900,1440,764,main,235290,6,4,3,D,k,-19,0.56,-5,0.44,-4,0.01,-7,0.99,left,0,27,absent,953,3921
d60e6z187w_pilot,test,21/03/2022@15:22:17,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.74 Safari/537.36",1440,900,1440,764,main,235290,7,4,3,F,j,20,0.94,4,0.06,5,0.49,15,0.51,right,0,37,present,1417,3159
d60e6z187w_pilot,test,21/03/2022@15:22:17,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.74 Safari/537.36",1440,900,1440,764,main,235290,8,4,3,D,k,-17,0.44,-3,0.56,-25,0.36,-5,0.64,left,0,29,absent,506,2747
d60e6z187w_pilot,test,21/03/2022@15:22:17,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.74 Safari/537.36",1440,900,1440,764,main,235290,9,4,3,F,j,23,0.93,-28,0.07,-28,0.13,30,0.87,right,0,4,present,829,810
d60e6z187w_pilot,test,21/03/2022@15:22:17,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.74 Safari/537.36",1440,900,1440,764,main,235290,10,4,3,F,k,30,0.5,-7,0.5,14,0.86,-24,0.14,right,0,46,absent,999,4143
