"subject","choice_rt_m","choice_rt_sd","sona_id","curTime","userAgent","screenWidth","screenHeight","windowWidth","windowHeight","phase","phase_run_time","trial","exp_runtime_mins","phase_runtime_mins","condition","magnitude","direction","choice_response_key","search_response_key","left_deck_id","right_deck_id","risky_deck_outcome_top","risky_deck_outcome_bottom","safe_deck_outcome","selected_deck_location","selectedRiskyDeck","error","n_stimuli","present_or_absent","chosenDeckId","choice_rt","search_rt","selected_deck_location_num"
"i4nu3505ov",736.276923076923,850.639157917567,13416,"21/03/2022@15:17:46","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.3 Safari/605.1.15",1792,1120,1323,941,"main",1063243,69,12,11,"HM","Moderate","Harder than Reference","F","j","riskyDeck","safeDeck",0,14,7,"right",0,1,39,"absent","safeDeck",1177,4248,1
"i4nu3505ov",736.276923076923,850.639157917567,13416,"21/03/2022@15:17:46","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.3 Safari/605.1.15",1792,1120,1323,941,"main",1063243,70,12,11,"EE","Extreme","Easier than Reference","F","k","riskyDeck","safeDeck",0,-14,-7,"right",0,0,25,"absent","safeDeck",427,2974,1
"i4nu3505ov",736.276923076923,850.639157917567,13416,"21/03/2022@15:17:46","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.3 Safari/605.1.15",1792,1120,1323,941,"main",1063243,71,12,11,"HE","Extreme","Harder than Reference","F","j","riskyDeck","safeDeck",0,28,14,"right",0,1,46,"absent","safeDeck",1731,1636,1
"i4nu3505ov",736.276923076923,850.639157917567,13416,"21/03/2022@15:17:46","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.3 Safari/605.1.15",1792,1120,1323,941,"main",1063243,72,12,11,"EM","Moderate","Easier than Reference","F","j","riskyDeck","safeDeck",0,-28,-14,"right",0,0,18,"present","safeDeck",357,1085,1
"i4nu3505ov",736.276923076923,850.639157917567,13416,"21/03/2022@15:17:46","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.3 Safari/605.1.15",1792,1120,1323,941,"main",1063243,73,12,11,"HM","Moderate","Harder than Reference","D","j","safeDeck","riskyDeck",14,0,7,"left",0,0,39,"present","safeDeck",748,1611,-1
"i4nu3505ov",736.276923076923,850.639157917567,13416,"21/03/2022@15:17:46","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.3 Safari/605.1.15",1792,1120,1323,941,"main",1063243,74,12,11,"EM","Moderate","Easier than Reference","F","k","safeDeck","riskyDeck",0,-28,-14,"right",1,1,32,"present","riskyDeck",1646,1273,1
"i4nu3505ov",736.276923076923,850.639157917567,13416,"21/03/2022@15:17:46","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.3 Safari/605.1.15",1792,1120,1323,941,"main",1063243,76,12,11,"EE","Extreme","Easier than Reference","D","k","safeDeck","riskyDeck",0,-14,-7,"left",0,0,25,"absent","safeDeck",335,1296,-1
"i4nu3505ov",736.276923076923,850.639157917567,13416,"21/03/2022@15:17:46","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.3 Safari/605.1.15",1792,1120,1323,941,"main",1063243,77,12,11,"EM","Moderate","Easier than Reference","D","j","riskyDeck","safeDeck",0,-28,-14,"left",1,0,32,"present","riskyDeck",2165,1279,-1
"i4nu3505ov",736.276923076923,850.639157917567,13416,"21/03/2022@15:17:46","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.3 Safari/605.1.15",1792,1120,1323,941,"main",1063243,78,12,12,"EE","Extreme","Easier than Reference","D","k","safeDeck","riskyDeck",0,-14,-7,"left",0,1,25,"present","safeDeck",396,577,-1
"i4nu3505ov",736.276923076923,850.639157917567,13416,"21/03/2022@15:17:46","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.3 Safari/605.1.15",1792,1120,1323,941,"main",1063243,79,13,12,"HE","Extreme","Harder than Reference","F","k","safeDeck","riskyDeck",0,28,14,"right",1,0,32,"absent","riskyDeck",397,1467,1
